timestamp,staking_provider,event,amount
1649172257,0x01474098607ed064f72832e1491b2261967166da,staked,71747829468825240000000
1649272001,0xcd087a44ed8ee2ace79f497c803005ff79a64a94,staked,7380092748731073763843815
1649384012,0x4cff511301c6859b074cf89d17ec23b8537a5576,staked,47401399335737208560000
1649416181,0xe6166176ca5bdd8c40c02312c26f5a8b4ac4c08f,staked,1864665508810753142822360
1649538945,0x9af604dea9cc90da70ca242b8b2f577bff23c2c8,staked,136666667925210000000000
1649559158,0x986dca567442c1ff8b47eb10b3281765006016f9,toppedUp,1010724468671360000000000
1649561254,0x986dca567442c1ff8b47eb10b3281765006016f9,unstaked,2010724468671360000000000
1649564018,0xb70aa6a5e459bec8f56a36727b97b1d4277437f7,staked,1508275696310697312756000
1649564203,0x817adcb8ac1185e60f8c455edca822494a94c7eb,staked,2010724468671360000000000
1649638089,0x9b50ef882cd1c08c0ae07ec68f69013e94caa782,staked,407469316481626052004799
1649640054,0x1c72f1eac2cef0517ec587d8eca523c61345648a,staked,228666800884213836702285
1649670617,0x99997edfda5580d32f470cb9db82898169eeedaa,staked,168345743587450000000000
1649750305,0xa6a2ae15f74f1e3f574f419a8853f0c9b095bc48,staked,16975906315713162797550480
1649758212,0x8c4d058ec1ed52fd75fbbf04c6c625289b47733b,staked,40001000000000000000000
1649771468,0x95c60546bb86e2e14d51338df5eef5482b9796b5,staked,44136905379199756802632
1649782242,0xbcbc193886a523400f26fe5f0926c4e3ce820e65,staked,100000000000000000000000
1649796205,0x1ff6daf48807564a5799214d98e6df5f54ccf621,staked,2511215286917879186921640
1649808244,0xd0908b1e0f6e64e3097c663bf95e2e9c040dd40d,toppedUp,880688806132270428929196
1649865728,0x0c635dc500222af8a12072922c6ac5a4fc536fac,toppedUp,358542829668689564978625
1649878472,0xc82bed104c3d5785fecebf906e5b1747a1bce681,staked,71688361889522809537470
1649888671,0x0af34a34d47acd961d3b05daef25ac4a09e96693,staked,44552383908114152124904
1649920723,0x8c4d058ec1ed52fd75fbbf04c6c625289b47733b,toppedUp,200000000000000000000
1649937705,0x95c60546bb86e2e14d51338df5eef5482b9796b5,unstaked,44136905379199756802632
1649957213,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,staked,50000000000000000000000
1649957765,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,toppedUp,279594477479180918408562
1649959864,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,toppedUp,310224221695032823715200
1649986830,0x0af34a34d47acd961d3b05daef25ac4a09e96693,unstaked,44552383908114152124904
1650066277,0x492af9a0b99fed66dce727bb96ad133db83cdaf6,staked,543508150000000000000000
1650068351,0xd517479acaef258baa3ba6a351e9c714a79d597e,unstaked,105109240000000000000000
1650099240,0xb55da62edb32d914ef5e08b622af5567b8620e43,staked,54674314301570403094200
1650115484,0x94a596968535e0b85e3fce1509a9add61c3131bc,staked,549854122567850893651950
1650118783,0xd112f6935a9845d07599d2c68120ef0bc5205a59,staked,278182438315489303182405
1650135740,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,unstaked,590000000000000000000000
1650229514,0xd0908b1e0f6e64e3097c663bf95e2e9c040dd40d,toppedUp,321459726434592381615102
1650263251,0xf2962794ebe69fc88f8db441c1cd13b9f90b1fe7,staked,12070885810314765022569322
1650288441,0xbcbc193886a523400f26fe5f0926c4e3ce820e65,unstaked,100000000000000000000000
1650341045,0x1d2dfce7f23669dcafaa376314fa0ae938c8641c,staked,40010000000000000000000
1650354573,0xc8a6bfe0834fb99340a0df253d79b7cae25053b8,staked,40001000000000000000000
1650375893,0x6f653c3ab0a9ef866e4ba99ce40340129ce2cc4c,staked,40001000000000000000000
1650381379,0x9c7c2b00ea7800fbe32fd50d844645db07c27a74,staked,41072783300000271579104
1650449532,0x04670e07912b3764cc1ccf1c22ad0f35b95e9ba0,toppedUp,8000563000000000000000000
1650451192,0x108977fe1cfd10f27d9591c33b8fe9733fd83d2c,staked,1302812422555441708003275
1650455994,0xc8a6bfe0834fb99340a0df253d79b7cae25053b8,unstaked,40001000000000000000000
1650533834,0xb70aa6a5e459bec8f56a36727b97b1d4277437f7,toppedUp,453221950696169656549600
1650649643,0x8c4d058ec1ed52fd75fbbf04c6c625289b47733b,unstaked,100000000000000000000
1650665362,0xab5d2f988071b4015fad8d410b7eb91e8e9635e5,staked,67077770474500000000000
1650824140,0x2baf3650263348f3304c18900a674bb0bf830801,staked,478318863125501600000000
1650835750,0xb0151d256ee16d847f080691c3529f316b2d54b3,staked,96752051603577901364212
1650858329,0xd112f6935a9845d07599d2c68120ef0bc5205a59,unstaked,278182438315489303182405
1650858444,0xce4407df6ae8a92eb69412bd6a8ec49a9b9b40dd,staked,278182438315489303182405
1650867059,0x1d2dfce7f23669dcafaa376314fa0ae938c8641c,toppedUp,340186000609998132469224
1650935226,0x047ad25d36c207e2c7ddedae5b481acf46841201,toppedUp,2410761159937903018499032
1650961544,0xe01be841b1e192390949e9ea1779b1897e105802,toppedUp,2154638728660230686111968
1650961978,0x8724fefdb3fbb429efaacc1ae5016f45ed345fe5,staked,1199351535719262339879568
1650987118,0xa5f6822ef1a7df72628259f9d1dc17eb2bcb2385,staked,1147965271501203840000000
1650993129,0x456d643cd97b058fd3bbbeb76f04b1de3679bc6a,staked,467746037390270525046615
1651005899,0x9709173ed6f194a953a77204359dbfd0e88a54d0,toppedUp,545819527389883215304858
1651006819,0xf66201810dc33d20707e31d981ca088128f04616,staked,159356301084669825124624
1651063250,0x9f615eb8a55d8c23b2b5d38b16bd1c1b0fbc331a,staked,12907375389225516181536645
1651064314,0x9f615eb8a55d8c23b2b5d38b16bd1c1b0fbc331a,toppedUp,73351749356237214788971007
1651067083,0xb04fcdf9327f65ab0107ea95b78bb200c07fa752,staked,79334988345085024019060775
1651069770,0x2aa70d73b8a3f55ad483261cf8378205bdc94a61,staked,1945718733113655161591475
1651072810,0xe6d1b933501556f3e8e935a2fb68fed9b4593a98,staked,190630934108376163700061855
1651076172,0x012926705c8edf332c3d41d3a8f7cd5aaea044de,staked,195000000000000000000000000
1651076766,0x42d2875a71cb25ddcf05dbed55490cb905498bac,staked,184373864123365455604571415
1651201989,0x4f9977b22f8524a1ef014d1877755a9f6c4adb6a,unstaked,217218571000000000000000
1651216096,0xc8a6bfe0834fb99340a0df253d79b7cae25053b8,toppedUp,40000000000000000000000
1651237357,0x17ede21b60c44a0139968e0d1d9a001d2bdc8f85,staked,407500000000000000000000
1651247252,0xfef6503a2cf17db14fae5d5874a50522677cfcec,staked,3000000000000000000000000
1651278121,0xd517479acaef258baa3ba6a351e9c714a79d597e,toppedUp,108144857543595687287082
1651319887,0x8f1a9a0a4408cccc39f8536d6ccae10f0883de27,staked,192764953243814843201046
1651338136,0xfc413dd97e72bf3bac5e835c42f874b6caca0101,staked,3049450653254591094509910
1651404002,0x38e29135f9e10073b327083a016057720fc2569e,staked,40000000000000000000000
1651459377,0xd517479acaef258baa3ba6a351e9c714a79d597e,unstaked,80000000000000000000000
1651459584,0x492af9a0b99fed66dce727bb96ad133db83cdaf6,toppedUp,10000002686612766572109
1651467905,0xa2e44666bab3ed3be4f87b7c18ed2ffb911c0bef,staked,2436613921642971577807755
1651470921,0xa2e44666bab3ed3be4f87b7c18ed2ffb911c0bef,toppedUp,662388888855030849330000
1651471669,0xc8a6bfe0834fb99340a0df253d79b7cae25053b8,toppedUp,10000000000000000000000
1651475975,0xce4407df6ae8a92eb69412bd6a8ec49a9b9b40dd,toppedUp,5017434516869659692600975
1651476604,0x83237ba2b7d0bf23090196fccbfb2be1ef21580d,staked,18014427667308370299030120
1651478047,0x8d0b183b68cc93b9f9e1490c85b4a4965ef5cd3b,staked,31690708865892180244971285
1651478228,0x94a596968535e0b85e3fce1509a9add61c3131bc,unstaked,549854122567850893651950
1651478431,0x83237ba2b7d0bf23090196fccbfb2be1ef21580d,toppedUp,502289588284953696076395
1651557886,0x2acb82ab911b69926d30a91ab88973ffe23f54b3,staked,42608517110826996085575
1651561326,0x2215a197a32834ef93c4d1029551bb8d3b924dcc,toppedUp,8897200000000000000000
1651569963,0xa3269869b682ca074158846f1187477965805c75,staked,55979006479516200290152
1651603374,0x53fd56c8507d15e36e961470c5f52664e06064b9,staked,79839637752869328211059
1651663299,0x65dd518e9d5486273ca810f8b9951fe20f512555,staked,4494701418967176346296160
1651678990,0x71047070fb92d633489490a322bf2110a31462b0,staked,40005000000000000000000
1651680148,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,toppedUp,5046725377353477248487056
1651692661,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,toppedUp,913931413995121921300296
1651699479,0x4553daa29662971ff6f1ca59390287e8bc25825f,toppedUp,13184375208908319109469
1651720383,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,toppedUp,48090298078353712239400
1651760236,0xd680b01503cf95a489010da7409980060991d096,staked,3258742848027300964630755
1651821788,0x8d0b183b68cc93b9f9e1490c85b4a4965ef5cd3b,toppedUp,3650161565465713155923520
1651830801,0xc8a6bfe0834fb99340a0df253d79b7cae25053b8,toppedUp,72481634626210000000000
1651868358,0x0d4b669675af57c8db631263731de924f45e895e,staked,274682262839506636429770
1651870481,0x71047070fb92d633489490a322bf2110a31462b0,unstaked,40005000000000000000000
1651949202,0xc2322e80a0d9320e0fdf0ea4698e71f75d504b94,unstaked,48742126653511344091497
1652067375,0xcef1b4bf8f05f623a2a688b56d9da679d302eba7,staked,2141060789870473260499710
1652091758,0x9c7c2b00ea7800fbe32fd50d844645db07c27a74,toppedUp,12790165085769181448728
1652165615,0x8d176a6daf3fc5a46c2eea994e4d5ea7758ed284,unstaked,139057529997714095550510
1652190500,0x8d06f731e86082b1922afa9002f164e1622bb011,toppedUp,48310205175675661600000
1652207990,0x4cff511301c6859b074cf89d17ec23b8537a5576,toppedUp,65613369112128756892053
1652208702,0xd517479acaef258baa3ba6a351e9c714a79d597e,toppedUp,88389077974802675162686
1652254484,0xd7c6dcfc25ff4e0c76d7753db848e38f90e056e4,staked,292385066185769785027352
1652265935,0x2215a197a32834ef93c4d1029551bb8d3b924dcc,toppedUp,34965000000000000000000
1652291399,0xefe9cdca25c2d4851ebf9c2b103fa7b6769033b7,unstaked,500000000000000000000000
1652308592,0x580d408aed344065a8f143404c1ac657fad47185,staked,1600000000000000000000000
1652337505,0x700277deaf138c6af9b3177f83918b6a3544f27f,toppedUp,1082707723404095997952380
1652411400,0xd517479acaef258baa3ba6a351e9c714a79d597e,unstaked,116533930000000000000000
1652448713,0x2cd8f299c4ab002e486037e0bb43d276a8955696,staked,4809750992932784157711270
1652448865,0x220e6203c74ead0a5fb9558c777af99d18b9f20d,staked,97777274794822350000000
1652470087,0xa3269869b682ca074158846f1187477965805c75,unstaked,55979006479516200290152
1652474215,0xd0908b1e0f6e64e3097c663bf95e2e9c040dd40d,toppedUp,1621225917099262186570199
1652476195,0xa4166c3e14cbdd6d4494945a99616f1c73ad9699,staked,717478294688252400000000
1652476342,0xaea619d02dcf7299fb24db2f60a08bfc8fb2dbcf,staked,717478294688252400000000
1652476459,0xca70fea021359778daec479b97d0cd2efe1ad099,staked,956637726251003200000000
1652476483,0xf2f5e0a3365c385a3adca4f614ed0984dfff52a3,staked,1357602862831848681248000
1652476515,0x4f4f0d0dfd93513b3f4cb116fe9d0a005466f725,staked,16442823168083918142048000
1652476573,0xc5795fa1eadf77fcda0c6d9f9b340d634c2ba546,staked,13028927512675538082400000
1652476587,0x9767795d399e86fcc0f600db6f302f5c0692e0cf,staked,13088540392586869346808000
1652477807,0xe12fac6a7c966e31c5c2cd5932d3a39a2d7fc755,staked,35000000000000000000000000
1652489574,0xd55c4261145ea1752662faa0485afbc8c431b0ca,staked,40000000000000000000000
1652496853,0xb260931b73b0c9e7e408be744b290a6806580892,staked,4493809136235449136605335
1652509585,0xd517479acaef258baa3ba6a351e9c714a79d597e,unstaked,320500000000000000000000
1652518874,0xfc1bc3ecbf9b3a24adc65aa9acd44626c0167d56,unstaked,67066205222239528961565
1652558173,0x80e8d031a3bbd4eb04cd19fd02cf4038344a42c5,staked,411264121363684425263608
1652575129,0xd517479acaef258baa3ba6a351e9c714a79d597e,unstaked,579500000000000000000000
1652603253,0xf66201810dc33d20707e31d981ca088128f04616,toppedUp,866068293460809666045816
1652663070,0x0028274b7978a09097b5d092fcc8f514d8acf239,staked,505000000000000000000000
1652675360,0x7ec8f39d3be2ad46c94e798e92ebd826b0971c4c,unstaked,52443457333034174803305
1652703311,0x2cd8f299c4ab002e486037e0bb43d276a8955696,toppedUp,1276590705296273346664230
1652703890,0x2cd8f299c4ab002e486037e0bb43d276a8955696,toppedUp,24738383852651015717625
1652709800,0xc8c36fa036244658920bc78d316efa4c9d98f306,staked,4361156339064076282460516
1652730947,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,toppedUp,23490357963311287837843
1652770906,0xd7c6dcfc25ff4e0c76d7753db848e38f90e056e4,toppedUp,243289561883803306155488
1652974359,0xd517479acaef258baa3ba6a351e9c714a79d597e,unstaked,59999000000000000000000
1652978280,0x72059c0ee489be670c397868f93e17fc4cbb10e7,staked,177475689266272201434864
1652980693,0x0354845b1a7ceac8a2343edb66303cef5211c5cd,staked,79660888945405196678826
1653065822,0x956a3999f4b9f9e4e46b96418121d4871082552a,staked,60628476147479807207506
1653070047,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,unstaked,6082056146564477911988357
1653070927,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,toppedUp,100000000000000000000000
1653071411,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,toppedUp,5988406146564477911988357
1653174020,0x9b911649c6465e1f32d9b5465dcd34a395763c72,staked,40000000000000000000000
1653209820,0x229beeaa51590c3abbc628af55283b73ed2dbf9d,staked,2657323207017556112895405
1653211147,0x6051545df463e7982bd375bee83fc0cfb6b731d2,staked,981891446168345747135010
1653247505,0x78b7082625281921880d999cd9e4cfcd8aab6c5e,staked,648400553024782278976149
1653262682,0xfd771e3e34a93e19caad4c11c3be16c70d5ec2fd,toppedUp,590168915181691083836325
1653294197,0xacaf9ed03045be08e7b1cb4ffea8a7f87ae73e25,unstaked,447705124780434748400355
1653300909,0x2acb82ab911b69926d30a91ab88973ffe23f54b3,unstaked,42608517110826996085575
1653374163,0xba272bd02ce23a3490b14d6af5782faa6b5ce0c4,staked,823956856240406124852525
1653375221,0xba272bd02ce23a3490b14d6af5782faa6b5ce0c4,toppedUp,16296212465803725000000000
1653375412,0xba272bd02ce23a3490b14d6af5782faa6b5ce0c4,toppedUp,17898895701624479722250070
1653428733,0xca5ac1b59796be580820e9c66d395977d4f7c3c0,toppedUp,16066361512851679319435344
1653430193,0xeed8504ee6563c51a64e5306115fcb3ceb59bc71,staked,48931841915900513835720
1653430554,0xbee416e10a873975e2258ddbb85286b8677311e6,staked,1025508154537309635953670
1653480810,0xf425a57ec73a25a3b1a08ea7f88a5c9e080c9ed4,staked,100000000000000000000000
1653490482,0xc8c36fa036244658920bc78d316efa4c9d98f306,toppedUp,1336313928400000000000000
1653496776,0x0ace6419dbdab7f9330568258b9ddb37a295b677,staked,2391594315627508000000000
1653498088,0xe26e2d93bbc8fde0e1e3b290fc927fb374e7e34e,staked,3348232041878511200000000
1653507627,0xed3ac0b60e8ea4d344a90e1069a601b1c297bbcf,staked,501893220337689195280847
1653576880,0xa829c2e33907ab03d27d5dbb39effd8386112789,staked,6996632068281089779884885
1653611680,0xe26e2d93bbc8fde0e1e3b290fc927fb374e7e34e,toppedUp,13521708117034584923035232
1653622943,0xb99f5ebc5f61120515f67fbb9ab9693605fbab06,staked,60000000000000000000000000
1653644635,0x0154c52ec5b6a3010758dde78079589e67526767,staked,40000000000000000000000
1653646091,0xe4a3492c8b085ab5edb6fdae329f172056f6b04e,toppedUp,1098198465807595244652600
1653646607,0xe4a3492c8b085ab5edb6fdae329f172056f6b04e,toppedUp,330540427968009372518904
1653649617,0xb011b6794f271b1d8d2328edf332535343cb4d44,staked,1606280011984992180323760
1653664124,0x5838636dcdd92113998fecbcdedf5b0d8beb4920,staked,70000000000000000000000000
1653667946,0xaafc71044c2b832dddfcedb0ae99695b0367dc57,staked,70000000000000000000000000
1653668443,0xfef6503a2cf17db14fae5d5874a50522677cfcec,toppedUp,639747530000000000000000
1653670398,0x6dee1fd2b29e2214a4f9ab9ba5f3d17c8cb56d11,staked,75243488406475720000000000
1653678969,0xb70c8d55d397aa5d76f96c64b3e4084db95c739e,staked,7397366502538608697930920
1653688716,0xeed8504ee6563c51a64e5306115fcb3ceb59bc71,unstaked,15013254028523408820435
1653689718,0xd01560684190da9541bdad9ead32d19384d72410,staked,40000000000000000000000
1653694760,0x4cca7d94ae28f39e6456dd733eecd1b82e9887dd,staked,839693342696646889309950
1653703909,0xd9221c8c3227b6383f6440019b7eb5485f93455a,unstaked,121340372545197107909880
