timestamp,bake_tezos__reward,adjustedReward,delegate_tezos__reward,delegateadjustedReward,total_staked,priceUsd,marketcapUsd
1620484866,6.058777,1.313537,5.443811,0.698572,78.560211,7.06,5417435933
1620477661,6.058968,1.314083,5.443983,0.699098,78.551881,7.06,5421872076
1620470459,6.064725,1.317323,5.449155,0.701753,78.518829,7.25,5587055624
1620463267,6.063257,1.316127,5.447836,0.700706,78.53335,7.19,5509375650
1620456058,6.057885,1.314038,5.445977,0.70213,78.548803,7.08,5456680767
1620448862,6.068442,1.318084,5.455468,0.70511,78.519446,7.21,5541172529
1620441666,6.06824,1.317824,5.455286,0.704871,78.523015,7.21,5527403787
1620434464,6.068075,1.317683,5.455138,0.704746,78.52476,7.08,5457110882
1620427266,6.068091,1.317802,5.455152,0.704864,78.522856,6.88,5298489703
1620420073,6.160415,1.409987,5.538151,0.787723,77.348318,7.2,5526143089
1620412871,6.160445,1.409945,5.538178,0.787678,77.34911,7.18,5510536570
1620405671,6.13799,1.38753,5.517991,0.767531,77.631435,7.25,5582538454
1620398465,6.127065,1.376747,5.508169,0.757852,77.767542,7.27,5601981981
1620391260,6.138578,1.388402,5.518519,0.768343,77.619385,7.45,5677000083
1620384071,6.175225,1.425224,5.551465,0.801464,77.155915,7.57,5815160744
1620376863,6.172714,1.422795,5.549207,0.799288,77.185983,7.52,5788127851
1620369661,6.159248,1.409539,5.537102,0.787393,77.351326,7.78,5962584204
1620362460,6.160525,1.410568,5.53825,0.788293,77.339316,7.5,5796764557
1620355265,6.151735,1.401388,5.530347,0.78,77.45617,7.91,6178734038
1620348072,6.154329,1.403164,5.532679,0.781515,77.436809,7.9,6085269386
1620340863,6.154969,1.403597,5.533255,0.781883,77.432127,7.64,5885703902
1620333665,6.154647,1.403138,5.532966,0.781456,77.438414,7.36,5711523565
1620326465,6.152514,1.400919,5.531048,0.779453,77.466646,7.47,5810613823
1620319262,6.175141,1.42313,5.55139,0.799378,77.189547,7.86,5930229461
1620312075,6.172961,1.420833,5.54943,0.797302,77.218692,7.33,5573829257
1620304862,6.171285,1.419217,5.547923,0.795854,77.238705,6.94,5326158134
1620297662,6.170684,1.418691,5.547383,0.795389,77.245014,6.86,5276944720
1620290458,6.169992,1.418313,5.54676,0.795081,77.248588,6.74,5184271850
1620283257,6.170538,1.418387,5.547251,0.7951,77.249398,6.59,5117470762
1620276058,6.169833,1.418063,5.546617,0.794847,77.252055,6.79,5223451435
1620268861,6.170774,1.418904,5.547464,0.795594,77.241896,6.73,5166374697
1620261666,6.169126,1.417463,5.545982,0.794319,77.259173,6.72,5101147439
1620254466,6.168145,1.417133,5.5451,0.794088,77.260917,6.68,5136540985
1620247268,6.166334,1.415769,5.543472,0.792907,77.276358,6.54,5022978214
1620240069,6.119105,1.368459,5.501013,0.750368,77.874127,6.55,5029940523
1620232872,6.106603,1.355873,5.489775,0.739045,78.034928,6.51,5021442594
1620225673,6.104604,1.354938,5.487977,0.738311,78.043067,6.27,4798658160
1620218462,6.123336,1.368969,5.504817,0.75045,77.881097,6.39,4941375799
1620211263,6.126608,1.369587,5.507759,0.750738,77.882815,6.32,4816777344
1620204060,6.120717,1.363645,5.502463,0.745391,77.958616,6.33,4827677464
