timestamp,delegate_livepeer__reward,delegate_livepeer__adjustedReward,run_a_transcoder_node__reward,adjustedReward,total_staked,priceUsd,marketcapUsd
1621197646,20.809443,8.555851,23.121603,10.868012,52.996288,30.23,706562149
1621190446,20.806807,8.551203,23.118674,10.86307,53.011708,31.17,737454556
1621183244,20.806807,8.551203,23.118674,10.86307,53.011708,31.48,746175903
1621176045,20.806807,8.551203,23.118674,10.86307,53.011708,32.03,755949345
1621168843,20.806812,8.551155,23.11868,10.863023,53.011923,32.3,762388217
1621161640,20.806813,8.551149,23.118681,10.863017,53.011952,31.69,749556649
1621154441,20.806813,8.551149,23.118681,10.863017,53.011952,31.58,745290625
1621147241,20.806813,8.551149,23.118681,10.863017,53.011952,31.63,752723609
1621140042,20.806813,8.551149,23.118681,10.863017,53.011952,31.47,742398507
1621132844,20.806813,8.551149,23.118681,10.863017,53.011952,31.5,744487588
1621125644,20.806813,8.551149,23.118681,10.863017,53.011952,31.09,737219255
1621118446,20.807018,8.549174,23.118909,10.861065,53.020858,31.88,755320514
1621111243,20.829284,8.57138,23.143649,10.885745,52.964441,31.76,749354480
1621104042,20.829289,8.571329,23.143655,10.885695,52.964669,32.4,756653708
1621096847,20.829289,8.571329,23.143655,10.885695,52.964669,32.58,776190635
1621089643,20.829289,8.571329,23.143655,10.885695,52.964669,31.51,744931913
1621082442,20.829289,8.571329,23.143655,10.885695,52.964669,31.36,737004046
1621075244,20.829294,8.571281,23.14366,10.885647,52.964887,31.11,732018024
1621068042,20.829294,8.571281,23.14366,10.885647,52.964887,31.68,748415761
1621060841,20.829303,8.571199,23.14367,10.885566,52.965254,32.31,763578093
1621053652,20.829303,8.571199,23.14367,10.885566,52.965254,32.81,776113438
1621046448,20.829303,8.571199,23.14367,10.885566,52.965254,32.96,774312399
1621039246,20.837137,8.576791,23.152375,10.892028,52.955029,33.97,798660584
1621032047,20.837137,8.576791,23.152375,10.892028,52.955029,34.13,805245102
1621024850,20.837137,8.576791,23.152375,10.892028,52.955029,34.43,818225742
1621017644,20.837137,8.576791,23.152375,10.892028,52.955029,34.81,823169193
1621010458,20.837137,8.576791,23.152375,10.892028,52.955029,35.18,832901098
1621003249,20.837137,8.576791,23.152375,10.892028,52.955029,34.34,810619378
1620996042,20.837137,8.576791,23.152375,10.892028,52.955029,34.14,804097768
1620988842,20.837137,8.576791,23.152375,10.892028,52.955029,34.09,806463145
1620981639,20.837142,8.576742,23.152381,10.89198,52.955249,33.67,793143091
1620974446,20.837148,8.576691,23.152386,10.89193,52.955477,33.91,798854691
1620967241,20.837148,8.576691,23.152386,10.89193,52.955477,34.56,816107993
1620960046,20.814247,8.55145,23.126941,10.864145,53.023859,34.83,822514313
1620952848,20.814252,8.551401,23.126947,10.864095,53.024083,34.3,808944235
1620945648,20.814252,8.551401,23.126947,10.864095,53.024083,34.03,803918328
1620938447,20.814252,8.551401,23.126947,10.864095,53.024083,33.64,793109996
1620931249,20.814252,8.551401,23.126947,10.864095,53.024083,33.52,791373850
1620924048,20.814258,8.551343,23.126953,10.864039,53.024341,34.81,822430133
1620916849,20.814268,8.551244,23.126965,10.86394,53.02479,35.36,835735618
1620909644,20.814268,8.551244,23.126965,10.86394,53.02479,34.62,820747875
1620902444,20.814294,8.551001,23.126993,10.8637,53.025886,34.54,816087843
1620895245,20.814294,8.551001,23.126993,10.8637,53.025886,36.44,861087143
1620888044,20.821738,8.556484,23.135264,10.870011,53.015402,36.32,855230836
1620880846,20.821743,8.556436,23.13527,10.869963,53.01562,35.92,848950443
1620873644,20.821752,8.556345,23.13528,10.869873,53.016031,36.65,868923746
1620866448,20.821754,8.55633,23.135282,10.869858,53.016098,35.95,832003574
1620859240,20.821754,8.55633,23.135282,10.869858,53.016098,38.98,906134323
1620852046,20.821754,8.55633,23.135282,10.869858,53.016098,38.96,918432481
1620844844,20.821754,8.55633,23.135282,10.869858,53.016098,38.64,914071302
1620837644,20.821754,8.55633,23.135282,10.869858,53.016098,39.34,929924004
1620830446,20.821754,8.55633,23.135282,10.869858,53.016098,40.49,956377449
1620823243,20.821756,8.556308,23.135284,10.869836,53.016199,41.12,974259185
1620816048,20.821764,8.556226,23.135294,10.869755,53.016567,42.22,998644998
1620808845,19.938304,7.670588,22.153672,9.885955,55.375545,41.96,1015939073
1620801641,19.938304,7.670588,22.153672,9.885955,55.375545,43.59,1003156333
1620794446,19.938312,7.670509,22.15368,9.885877,55.375916,42.3,1002164110
1620787242,19.938314,7.670495,22.153682,9.885863,55.375981,45.16,1070031438
1620780045,19.938318,7.670447,22.153687,9.885816,55.376207,40.19,948962329
1620772849,19.938318,7.670447,22.153687,9.885816,55.376207,42.31,1003166097
1620765645,19.938318,7.670447,22.153687,9.885816,55.376207,41.06,967231077
1620758446,19.938322,7.670414,22.153691,9.885783,55.376359,40.66,960513833
1620751247,19.938322,7.670414,22.153691,9.885783,55.376359,41.77,984174534
1620744050,19.938327,7.670358,22.153697,9.885728,55.376624,41.63,979260824
1620736845,19.938327,7.670358,22.153697,9.885728,55.376624,42.27,998052306
1620729641,19.945439,7.675162,22.161599,9.891321,55.367293,42.99,1024056268
1620722440,19.945439,7.675162,22.161599,9.891321,55.367293,42.45,1008634225
1620715240,19.945439,7.675162,22.161599,9.891321,55.367293,43.9,1036285949
1620708043,19.945441,7.67514,22.161601,9.8913,55.367394,43.6,1031573473
1620700843,19.945444,7.675108,22.161605,9.891268,55.367547,42.86,1016491534
1620693641,19.945444,7.675108,22.161605,9.891268,55.367547,42.89,1005298691
1620686448,19.945461,7.674941,22.161623,9.891103,55.368328,36.21,850339132
1620679248,19.945462,7.674927,22.161625,9.891089,55.368393,35.63,840425733
1620672045,19.945462,7.674927,22.161625,9.891089,55.368393,36.16,854346515
1620664851,19.945468,7.67487,22.161631,9.891033,55.368658,37.33,882492952
1620657649,19.94362,7.670942,22.159578,9.8869,55.383175,39.12,926310826
1620650445,19.94362,7.670942,22.159578,9.8869,55.383175,39.17,925662215
1620643238,19.94362,7.670942,22.159578,9.8869,55.383175,39.28,925760249
1620636038,19.94362,7.670942,22.159578,9.8869,55.383175,32.83,777468776
1620628841,19.94362,7.670942,22.159578,9.8869,55.383175,34.33,810100610
1620621640,19.94362,7.670942,22.159578,9.8869,55.383175,33.58,793333283
1620614448,19.94362,7.670942,22.159578,9.8869,55.383175,33.74,797927852
1620607247,19.94362,7.670942,22.159578,9.8869,55.383175,33.46,776145897
1620600045,19.94362,7.670942,22.159578,9.8869,55.383175,32.75,772505976
1620592845,19.94362,7.670942,22.159578,9.8869,55.383175,32.51,765461079
1620585646,19.94362,7.670942,22.159578,9.8869,55.383175,32.57,768796998
1620578443,19.969793,7.694735,22.188659,9.913601,55.321315,33.09,781623360
1620571240,19.969793,7.694735,22.188659,9.913601,55.321315,32.43,764353826
1620564045,19.969798,7.694686,22.188665,9.913552,55.321547,32.24,761223120
1620556839,19.969806,7.694606,22.188673,9.913473,55.321922,32.8,772048965
1620549640,19.969806,7.694606,22.188673,9.913473,55.321922,32.74,772000376
1620542441,19.969806,7.694606,22.188673,9.913473,55.321922,32.82,768740754
1620535242,19.969806,7.694606,22.188673,9.913473,55.321922,32.6,768476062
1620528045,19.969806,7.694606,22.188673,9.913473,55.321922,33.91,801892493
1620520847,19.969806,7.694606,22.188673,9.913473,55.321922,34.74,821390519
1620513641,19.969806,7.694606,22.188673,9.913473,55.321922,34.32,811170903
1620506442,19.969806,7.694606,22.188673,9.913473,55.321922,34.28,816887771
1620499244,19.975783,7.698303,22.195314,9.917834,55.315641,34.24,805577592
1620492041,19.975783,7.698303,22.195314,9.917834,55.315641,34.75,818831880
1620484843,19.975783,7.698303,22.195314,9.917834,55.315641,35.51,835737971
1620477643,19.975783,7.698303,22.195314,9.917834,55.315641,35.49,837275288
1620470440,19.975783,7.698303,22.195314,9.917834,55.315641,34.86,819739052
1620463247,19.975783,7.698303,22.195314,9.917834,55.315641,33.96,799804365
1620456042,19.975783,7.698303,22.195314,9.917834,55.315641,33.35,788531733
1620448842,19.975783,7.698303,22.195314,9.917834,55.315641,33.89,795782794
1620441646,19.975783,7.698303,22.195314,9.917834,55.315641,32.97,775933697
1620434445,19.975796,7.698169,22.195329,9.917702,55.316267,32.36,763036796
1620427246,19.988203,7.708235,22.209115,9.929146,55.292471,32.19,759624097
1620420051,19.988203,7.708235,22.209115,9.929146,55.292471,32.48,766700221
1620412850,19.988203,7.708235,22.209115,9.929146,55.292471,32.46,766905888
1620405650,19.988203,7.708235,22.209115,9.929146,55.292471,31.95,764644334
1620398442,19.988203,7.708235,22.209115,9.929146,55.292471,32.12,758086557
1620391240,19.988208,7.708186,22.20912,9.929098,55.292701,32.11,753039556
1620384051,19.988208,7.708186,22.20912,9.929098,55.292701,32.19,757782321
1620376841,19.988208,7.708186,22.20912,9.929098,55.292701,31.82,750978146
1620369641,19.988208,7.708186,22.20912,9.929098,55.292701,31.83,749518998
1620362442,19.988217,7.7081,22.20913,9.929013,55.293104,31.38,740190395
1620355245,19.988222,7.708052,22.209135,9.928965,55.293327,31.79,750645024
1620348048,19.981479,7.699018,22.201644,9.919182,55.322308,32.57,769166006
1620340845,19.981479,7.699018,22.201644,9.919182,55.322308,31.96,752632536
1620333646,19.981479,7.699018,22.201644,9.919182,55.322308,31.86,751002183
1620326447,19.981479,7.699018,22.201644,9.919182,55.322308,32.12,760953747
1620319244,19.981479,7.699018,22.201644,9.919182,55.322308,32.22,758681377
1620312050,19.981479,7.699018,22.201644,9.919182,55.322308,31.82,742930893
1620304843,19.981479,7.699018,22.201644,9.919182,55.322308,34.35,810053933
1620297643,19.981479,7.699018,22.201644,9.919182,55.322308,31.1,731593861
1620290440,19.981485,7.698964,22.20165,9.919129,55.322559,31.14,734398179
1620283239,19.981485,7.698964,22.20165,9.919129,55.322559,30.96,732382555
1620276042,19.981493,7.698883,22.201659,9.919049,55.322937,31.13,735611628
1620268843,19.978915,7.694226,22.198795,9.914105,55.339442,31.25,738662314
1620261644,19.978915,7.694226,22.198795,9.914105,55.339442,31.03,730752361
1620254446,19.978915,7.694226,22.198795,9.914105,55.339442,31.13,734505831
1620247247,19.978915,7.694226,22.198795,9.914105,55.339442,31.01,733547477
1620240048,19.978915,7.694226,22.198795,9.914105,55.339442,30.87,728982275
1620232849,19.978915,7.694226,22.198795,9.914105,55.339442,30.06,707826939
1620225651,19.978915,7.694226,22.198795,9.914105,55.339442,30.81,726316182
1620218444,19.978915,7.694226,22.198795,9.914105,55.339442,30.27,713384009
1620211244,19.978915,7.694226,22.198795,9.914105,55.339442,30.25,711117022
1620204041,19.97892,7.694172,22.198801,9.914052,55.339696,30.12,709595669
1620196844,19.979081,7.692555,22.198979,9.912453,55.347257,29.96,711039578
1620189640,19.985045,7.697791,22.205606,9.918352,55.33402,30.35,713664177
